YY,MM,RR
1964,9,11.5377358491
1964,9,-3.9622641509
1964,9,-3.9622641509
1964,9,1.6377358491
1964,9,-1.1622641509
1964,9,26.6377358491
1964,9,21.4377358491
1964,9,3.1377358491
1964,9,-2.1622641509
1965,5,12.5377358491
1965,5,4.9377358491
1965,5,-3.4622641509
1965,5,3.7377358491
1965,5,-3.1622641509
1965,5,27.7377358491
1965,5,-3.6622641509
1965,5,20.9377358491
1965,5,-3.9622641509
1965,5,-2.1622641509
1965,5,-3.9622641509
1965,5,-3.4622641509
1965,5,-3.9622641509
1965,5,2.9377358491
1965,5,-3.9622641509
1965,5,-3.9622641509
1965,5,-3.9622641509
1965,5,19.9377358491
1965,5,-3.9622641509
1965,5,1.8377358491
1965,5,13.5377358491
1965,5,11.0377358491
1965,5,-3.9622641509
1965,5,2.8377358491
1965,5,-3.9622641509
1965,5,35.2377358491
1965,5,8.7377358491
1965,5,49.6377358491
1965,5,47.3377358491
1965,5,72.4377358491
1965,5,53.2377358491
1965,6,0.2377358491
1965,6,-3.9622641509
1965,6,-3.9622641509
1965,6,29.3377358491
1965,6,33.2377358491
1965,6,35.6377358491
1965,6,27.0377358491
1965,6,7.2377358491
1965,6,-3.6622641509
1965,6,2.1377358491
1965,6,-3.6622641509
1965,6,-3.9622641509
1965,6,-3.4622641509
1965,6,6.2377358491
1965,6,-3.9622641509
1965,6,-3.1622641509
1965,6,50.9377358491
1965,6,-3.1622641509
1965,6,13.1377358491
1965,6,16.4377358491
1965,6,2.9377358491
1965,6,4.4377358491
1965,6,82.4377358491
1965,6,28.3377358491
1965,6,62.4377358491
1965,6,21.0377358491
1965,6,4.7377358491
1965,6,-3.9622641509
1965,6,-3.9622641509
1965,6,-2.6622641509
1965,7,27.0377358491
1965,7,-2.3622641509
1965,7,26.8377358491
1965,7,-3.9622641509
1965,7,1.8377358491
1965,7,1.6377358491
1965,7,22.0377358491
1965,7,-2.1622641509
1965,7,2.3377358491
1965,7,-2.1622641509
1965,7,27.5377358491
1965,7,-2.8622641509
1965,7,364.0377358491
1965,7,23.9377358491
1965,7,-3.9622641509
1965,7,-3.3622641509
1965,7,33.1377358491
1965,7,3.4377358491
1965,7,29.3377358491
1965,7,-1.9622641509
